Time (Milliseconds)	Number of Transitions/Interpolations	Number of State Transitions	Number of Registered Objects	Command Queue Size (Bytes)	Command Queue Used (%)	Number of Prepared Events	Number of Active Events	Loaded Banks (Memory) (Bytes)	Prepared Events (Memory) (Bytes)	Total Media (Memory) (Bytes)	Profiler Bandwidth (Bytes/Sec)	CPU - Total (%)	CPU - Plug-in Total (%)	Total Reserved Memory (Bytes)	Total Used Memory (Bytes)	Total Streaming Bandwidth (Low-Level) (Bytes/Sec)	Total Streaming Bandwidth (Bytes/Sec)	Number of Streams	Number of Streams (Active)	Number of Voices (Total)	Number of Voices (Virtual)	Number of Voices (Physical)	Number of Active Listeners	Output Peak	Number of Active Sends	Loudness Momentary/Sync Group 1	Loudness Short-term/Sync Group 1	Loudness Momentary/Sync Group 2	Loudness Short-term/Sync Group 2	Loudness Momentary/Sync Group 3	Loudness Short-term/Sync Group 3	Loudness Momentary/Sync Group 4	Loudness Short-term/Sync Group 4	API calls	
7687754	0	0	7	52	0.02	0	0	351296	0	351296	26111	0.43	0.20	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7687954	0	0	7	52	0.02	0	0	351296	0	351296	26107	0.47	0.21	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7688154	0	0	7	52	0.02	0	0	351296	0	351296	26114	0.33	0.14	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7688354	0	0	7	52	0.02	0	0	351296	0	351296	24485	0.41	0.20	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7688554	0	0	7	52	0.02	0	0	351296	0	351296	26444	0.47	0.21	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7688754	0	0	7	52	0.02	0	0	351296	0	351296	26110	0.40	0.19	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7688954	0	0	7	52	0.02	0	0	351296	0	351296	26109	0.47	0.24	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7689154	0	0	7	52	0.02	0	0	351296	0	351296	26103	0.36	0.14	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7689354	0	0	7	52	0.02	0	0	351296	0	351296	24809	0.40	0.20	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7689554	0	0	7	52	0.02	0	0	351296	0	351296	26445	0.52	0.20	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7689754	0	0	7	52	0.02	0	0	351296	0	351296	25783	0.37	0.14	12623872	3415088	0	0	0	0	0	0	0	5	-96	0										
7689954	0	0	7	132	0.05	0	1	351296	0	351296	31616	0.85	0.23	12623872	3461856	0	0	0	0	2	0	2	5	-5	0										
7690154	0	0	7	132	0.05	0	2	351296	0	351296	41391	0.77	0.24	12623872	3465264	0	0	0	0	3	0	3	5	-10	0										
7690354	0	0	7	132	0.05	0	4	351296	0	351296	51358	0.65	0.13	12623872	3472080	0	0	0	0	5	0	5	5	-7	0										
7690554	0	0	7	132	0.05	0	5	351296	0	351296	62903	0.81	0.28	12623872	3475488	0	0	0	0	6	0	6	5	-9	0										
7690754	0	0	7	132	0.05	0	7	351296	0	351296	73673	0.84	0.16	12623872	3482304	0	0	0	0	8	0	8	5	-4	0										
7690954	0	0	7	132	0.05	0	8	351296	0	351296	81835	0.95	0.25	12623872	3485712	0	0	0	0	9	0	9	5	-9	0										
7691154	0	0	7	132	0.05	0	9	351296	0	351296	91575	0.77	0.28	12623872	3489120	0	0	0	0	10	0	10	5	-12	0										
7691354	0	0	7	132	0.05	0	11	351296	0	351296	96800	0.62	0.15	12623872	3497104	0	0	0	0	11	0	11	5	-15	0										
7691554	0	0	7	52	0.02	0	11	351296	0	351296	107445	0.44	0.01	12623872	3497104	0	0	0	0	11	0	11	5	-24	0										
7691754	0	0	7	52	0.02	0	11	351296	0	351296	102098	0.72	0.16	12623872	3497104	0	0	0	0	9	0	9	5	-31	0										
7691954	0	0	7	52	0.02	0	8	351296	0	351296	89480	0.66	0.14	12623872	3486720	0	0	0	0	8	0	8	5	-41	0										
7692154	0	0	7	52	0.02	0	6	351296	0	351296	74185	0.55	0.04	12623872	3479904	0	0	0	0	6	0	6	5	-52	0										
7692354	0	0	7	0	0.00	0	5	351296	0	351296	61663	0.38	0.07	12623872	3476368	0	0	0	0	5	0	5	5	-65	0										
7692554	0	0	7	52	0.02	0	4	351296	0	351296	54756	0.53	0.13	12623872	3473088	0	0	0	0	4	0	4	5	-75	0										
7692754	0	0	7	52	0.02	0	2	351296	0	351296	52154	0.63	0.10	12623872	3466304	0	0	0	0	2	0	2	5	-90	0										
7692954	0	0	7	52	0.02	0	1	351296	0	351296	42267	0.48	0.13	12623872	3462896	0	0	0	0	1	0	1	5	-96	0										
7693154	0	0	7	52	0.02	0	0	351296	0	351296	30105	0.46	0.21	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7693354	0	0	7	52	0.02	0	0	351296	0	351296	26443	0.45	0.20	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7693554	0	0	7	52	0.02	0	0	351296	0	351296	26109	0.40	0.20	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7693754	0	0	7	52	0.02	0	0	351296	0	351296	26114	0.53	0.27	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7693954	0	0	7	52	0.02	0	0	351296	0	351296	26110	0.31	0.13	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7694154	0	0	7	52	0.02	0	0	351296	0	351296	24798	0.42	0.19	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7694354	0	0	7	52	0.02	0	0	351296	0	351296	26444	0.44	0.20	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7694554	0	0	7	52	0.02	0	0	351296	0	351296	25745	0.34	0.13	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7694754	0	0	7	52	0.02	0	0	351296	0	351296	26166	0.45	0.21	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7694954	0	0	7	52	0.02	0	0	351296	0	351296	26113	0.44	0.21	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7695154	0	0	7	80	0.03	0	0	351296	0	351296	24766	0.18	0.07	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7695354	0	0	7	80	0.03	0	0	351296	0	351296	25515	0.50	0.29	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7695554	0	0	7	80	0.03	0	0	351296	0	351296	28096	0.29	0.14	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7695754	0	0	7	52	0.02	0	0	351296	0	351296	26789	0.27	0.07	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7695954	0	0	7	80	0.03	0	0	351296	0	351296	24804	0.52	0.23	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7696154	0	0	7	52	0.02	0	0	351296	0	351296	26785	0.25	0.01	12623872	3416256	0	0	0	0	1	0	1	5	-96	0										
7696354	0	0	7	84	0.03	0	1	351296	0	351296	24044	0.24	0.01	12623872	3462608	0	0	0	0	1	0	1	5	-96	0										
7696554	0	0	7	0	0.00	0	1	351296	0	351296	31256	0.21	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7696754	0	0	7	0	0.00	0	1	351296	0	351296	26038	0.53	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7696954	0	0	7	0	0.00	0	1	351296	0	351296	27406	0.29	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7697154	0	0	7	0	0.00	0	1	351296	0	351296	25708	0.29	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7697354	0	0	7	0	0.00	0	1	351296	0	351296	28741	0.24	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7697554	0	0	7	0	0.00	0	1	351296	0	351296	27061	0.29	0.01	12623872	3462448	0	0	0	0	1	0	1	5	-96	0										
7697754	0	0	7	52	0.02	0	1	351296	0	351296	26350	0.40	0.05	12623872	3462576	0	0	0	0	1	0	1	5	-96	0										
7697954	0	0	7	52	0.02	0	1	351296	0	351296	34271	0.69	0.18	12623872	3462576	0	0	0	0	0	0	0	5	-96	0										
7698154	0	0	7	52	0.02	0	0	351296	0	351296	27404	0.28	0.12	12623872	3416224	0	0	0	0	0	0	0	5	-96	0										
7698354	0	0	7	52	0.02	0	0	351296	0	351296	26384	0.27	0.12	12623872	3416224	0	0	0	0	0	0	0	5	-96	0										
7698554	0	0	7	52	0.02	0	0	351296	0	351296	25642	0.43	0.20	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7698754	0	0	7	132	0.05	0	1	351296	0	351296	29781	0.67	0.25	12623872	3462608	0	0	0	0	1	0	1	5	-96	0										
7698954	0	0	7	52	0.02	0	1	351296	0	351296	35413	0.57	0.24	12623872	3462608	0	0	0	0	1	0	1	5	-96	0										
7699154	0	0	7	52	0.02	0	1	351296	0	351296	35333	0.57	0.15	12623872	3462608	0	0	0	0	1	0	1	5	-96	0										
7699354	0	0	7	80	0.03	0	1	351296	0	351296	39582	0.78	0.36	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7699554	0	0	7	80	0.03	0	1	351296	0	351296	38804	0.57	0.26	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7699754	0	0	7	80	0.03	0	1	351296	0	351296	35593	0.56	0.17	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7699954	0	0	7	80	0.03	0	1	351296	0	351296	38370	0.55	0.24	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7700154	0	0	7	80	0.03	0	1	351296	0	351296	37617	0.66	0.32	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7700354	0	0	7	52	0.02	0	1	351296	0	351296	36847	0.66	0.18	12623872	3463024	0	0	0	0	1	0	1	5	-96	0										
7700554	0	0	7	80	0.03	0	1	351296	0	351296	37658	0.62	0.21	12623872	3463024	0	0	0	0	0	0	0	5	-96	0										
7700754	0	0	7	80	0.03	0	0	351296	0	351296	31394	0.44	0.19	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7700954	0	0	7	80	0.03	0	0	351296	0	351296	24808	0.26	0.13	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7701154	0	0	7	80	0.03	0	0	351296	0	351296	26444	0.58	0.17	12623872	3416256	0	0	0	0	1	0	1	5	-6	0										
7701354	0	0	7	132	0.05	0	1	351296	0	351296	30459	0.34	0.01	12623872	3463024	0	0	0	0	1	0	1	5	-16	0										
7701554	0	0	7	0	0.00	0	1	351296	0	351296	28825	0.37	0.01	12623872	3462864	0	0	0	0	1	0	1	5	-25	0										
7701754	0	0	7	0	0.00	0	1	351296	0	351296	25122	0.33	0.01	12623872	3462864	0	0	0	0	1	0	1	5	-35	0										
7701954	0	0	7	0	0.00	0	1	351296	0	351296	26437	0.41	0.01	12623872	3462864	0	0	0	0	1	0	1	5	-41	0										
7702154	0	0	7	0	0.00	0	1	351296	0	351296	26440	0.25	0.01	12623872	3462864	0	0	0	0	1	0	1	5	-51	0										
7702354	0	0	7	52	0.02	0	1	351296	0	351296	28800	0.58	0.16	12623872	3462992	0	0	0	0	1	0	1	5	-65	0										
7702554	0	0	7	52	0.02	0	1	351296	0	351296	34315	0.41	0.09	12623872	3462992	0	0	0	0	1	0	1	5	-77	0										
7702754	0	0	7	52	0.02	0	1	351296	0	351296	31959	0.32	0.01	12623872	3462992	0	0	0	0	1	0	1	5	-94	0										
7702954	0	0	7	52	0.02	0	1	351296	0	351296	28911	0.68	0.13	12623872	3463024	0	0	0	0	0	0	0	5	-96	0										
7703154	0	0	7	52	0.02	0	0	351296	0	351296	29731	0.43	0.20	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7703354	0	0	7	52	0.02	0	0	351296	0	351296	26119	0.45	0.21	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7703554	0	0	7	52	0.02	0	0	351296	0	351296	24082	0.08	0.00	12623872	3416256	0	0	0	0	0	0	0	5	-96	0										
7703754	0	0	7	0	0.00	0	0	351296	0	351296	17451	0.07	0.00	12623872	3416096	0	0	0	0	0	0	0	5	-96	0										
7703954	0	0	7	0	0.00	0	0	351296	0	351296	15479	0.18	0.00	12623872	3416096	0	0	0	0	0	0	0	5	-96	0										
7704154	0	0	7	0	0.00	0	0	351296	0	351296	17494	0.12	0.00	12623872	3416096	0	0	0	0	0	0	0	5	-96	0										
7704354	0	0	5	116	0.04	0	0	351296	0	351296	16548	0.09	0.02	12623872	3411872	0	0	0	0	0	0	0	3	-96	0										
7704554	0	0	4	32	0.01	0	0	351296	0	351296	17262	0.08	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7704754	0	0	4	0	0.00	0	0	351296	0	351296	14765	0.08	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7704954	0	0	4	0	0.00	0	0	351296	0	351296	14702	0.12	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7705154	0	0	4	0	0.00	0	0	351296	0	351296	16474	0.09	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7705354	0	0	4	0	0.00	0	0	351296	0	351296	15438	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7705554	0	0	4	0	0.00	0	0	351296	0	351296	14984	0.07	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7705754	0	0	4	0	0.00	0	0	351296	0	351296	15774	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7705954	0	0	4	0	0.00	0	0	351296	0	351296	14664	0.10	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7706154	0	0	4	0	0.00	0	0	351296	0	351296	16463	0.07	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7706354	0	0	4	0	0.00	0	0	351296	0	351296	14994	0.14	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7706554	0	0	4	0	0.00	0	0	351296	0	351296	15776	0.13	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7706754	0	0	4	0	0.00	0	0	351296	0	351296	14667	0.10	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7706954	0	0	4	0	0.00	0	0	351296	0	351296	16464	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7707154	0	0	4	0	0.00	0	0	351296	0	351296	15437	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7707354	0	0	4	0	0.00	0	0	351296	0	351296	14984	0.13	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7707554	0	0	4	0	0.00	0	0	351296	0	351296	15780	0.09	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7707754	0	0	4	0	0.00	0	0	351296	0	351296	14663	0.09	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7707954	0	0	4	0	0.00	0	0	351296	0	351296	16472	0.08	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7708154	0	0	4	0	0.00	0	0	351296	0	351296	15361	0.08	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7708354	0	0	4	0	0.00	0	0	351296	0	351296	15100	0.12	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7708554	0	0	4	0	0.00	0	0	351296	0	351296	14344	0.08	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7708754	0	0	4	0	0.00	0	0	351296	0	351296	15099	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7708954	0	0	4	0	0.00	0	0	351296	0	351296	15099	0.11	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
7709154	0	0	4	0	0.00	0	0	351296	0	351296	15101	0.09	0.00	12623872	3409584	0	0	0	0	0	0	0	3	-96	0										
